R4-00011|d:\6\恋爱小程序\apps\client\src\pages\discover\index.vue|288-289|H|P3|缺省年龄区间魔法数字 18/35（recommendationFilter.ageMin ?? 18 / ageMax ?? 35）|调整默认筛选需改代码|常量提取或配置化|open|batch-4|
R4-00016|d:\6\恋爱小程序\apps\client\src\pages\likes\index.vue|1155|D|P3|内联硬编码色值 rgba(15,23,42,0.72)（L1510 已有同值 token --c-overlay-strong）与 L1391 color:#ffffff 未用 design token|深色模式/主题适配失效|改用 token|open|batch-4|
R4-00032|d:\6\恋爱小程序\apps\client\src\pages\love-center\consulting.vue|30-32|H|P3|课程价格 99/129/159 魔法数字硬编码|调价需改代码|价格配置化|open|batch-4|
R4-00083|d:\6\恋爱小程序\apps\client\src\pages\official-chat\index.vue|142|H|P3|魔法数字 6*3600*1000 生成 mock 消息时间偏移|可读性差|提常量|open|batch-4|
R4-00115|d:\6\恋爱小程序\apps\client\src\pages\settings\dnd.vue|346,455|H|P3|switch 颜色 #3FCF8E 硬编码两处|主题切换不生效|从 design tokens 取色|open|batch-4|
R4-00116|d:\6\恋爱小程序\apps\client\src\pages\vip\index.vue|120|H|P3|SWITCH_ACTIVE_COLOR=“#FFD700” 硬编码（注释要求手工与 tokens 同步）|主题变更需双处维护|统一 token 源|open|batch-4|
R4-00141|d:\6\恋爱小程序\apps\client\src\services\sentry.ts|455|H|P3|直接读存储键字面量 "token"（未用 constants/app.ts 的 STORAGE_KEYS.AUTH_TOKEN）|存储键分散，改名不同步时上报通道静默失效|引用 STORAGE_KEYS|open|batch-4|
R4-00160|d:\6\恋爱小程序\apps\client\src\stores\session.ts|444-445|T|P3|logout 注释称「先清本地 token，再异步通知后端」，实际 api.ts logout 是先请求后端（携带 token）再 finally 清理|注释与实现顺序矛盾，误导维护者调整时序引入安全问题|修正注释|open|batch-4|
R4-00162|d:\6\恋爱小程序\apps\client\src\services\generated\api-types-supplement.ts|1-508|T|P3|508 行手写补充类型（token/refreshToken/vipStatus/InteractionEventView 新旧字段别名并存）与 OpenAPI 生成类型混放|契约漂移：生成规范未更新，手写类型成为第二真相源|补充 OpenAPI 后移除本文件|open|batch-4|
R4-00191|d:\6\恋爱小程序\apps\client\src\stores\discover\index.ts|144-146|H|P3|超级账号剩余次数魔法数字 999（remainingCount 直返 999）|与 isSuperTestAccount 硬编码 userId 联动，dev 旁路逻辑散落 getter|移入 feature flag 常量|open|batch-4|
R4-00196|d:\6\恋爱小程序\apps\client\src\services\env.ts|183|T|P3|大量 console.warn 被用作业务调试日志出口（本范围 100+ 处，如 env.ts:183 诊断日志、session.ts:383、messages.ts:131 等），生产环境输出噪音|生产日志被调试信息淹没，且修复 no-console 后语义错位（warn 变日志）|统一收敛到日志工具并分级|open|batch-4|
R4-00230|d:\6\恋爱小程序\apps\client\src\config\api.ts|52-54|T|P3|uploadMs:60_000/longPollMs:30_000 内联魔法数字，与 constants/limits.ts:112-115 API_TIMEOUT.UPLOAD_MS/LONG_POLL_MS 双源定义|超时调整需改两处|改从 constants/limits.ts 引用|open|batch-4|
R4-00236|d:\6\恋爱小程序\apps\client\src\theme\tokens.ts|361-377|D|P3|component.button.height 56/72/88 与 design-variables.scss:489-494 --btn-height-* 80/96/104rpx 数值漂移（双源同步约定仅覆盖颜色）|JS 与 SCSS 侧按钮尺寸不一致，主题调整时遗漏一侧|统一双源数值并加漂移校验|open|batch-4|
