R4-00436|d:\6\恋爱小程序\apps\admin\src\router\guards.ts|36-38|B|P2|isTokenValid 无条件放行 "dev-admin-token-"/"mock-admin-token-" 前缀（仅长度≥16），生产构建同样生效，无 isDev 守卫；且 "mock-admin-token-" 前缀无任何签发方（死分支）|攻击者可手工伪造 localStorage token 通过前端守卫看到后台框架与菜单（后端 API 仍会 401，仅展示层绕过，纵深防御缺失）|前缀校验加 env.isDev 条件，删除无签发方的 mock 前缀分支|open|batch-3|
R4-00437|d:\6\恋爱小程序\apps\admin\src\stores\menu.ts|233-239|B|P2|loadMenus 在 404 时回退 staticFallbackMenus，该回退在生产环境同样生效——后端菜单端点 404/误删时所有管理员（含校区管理员）看到全量菜单入口（系统管理/配置中心等），权限展示被绕过|校区管理员看到 SUPER_ADMIN 专属菜单入口，误操作引导 + 权限模型展示失真；staticFallbackMenus 与后端菜单数据双份维护漂移|回退仅限 dev 模式，或从后端动态下发兜底菜单|open|batch-3|
R4-00439|d:\6\恋爱小程序\apps\admin\src\api\http.ts|46|B|P2|unwrapApiData 以 `typeof record.code === "number"` 判定 ApiResponse 包装，而 API-CONTRACT.md:78 契约声明 code 为 string（"OK"）；后端若按契约返回字符串 code，登录/改密/新增用户等包装响应解包返回 null|admin 登录后 payload 解包失败导致会话异常或功能静默失败，契约与实现双头漂移|统一 code 判定（number/string 兼容）并与后端 ApiResponse 对齐|open|batch-3|
R4-00440|d:\6\恋爱小程序\apps\admin\src\api\system.ts|436-443,492|B|P2|分页页码模型混用：listAuditLogs 默认 page=0（Spring Data 风格，AuditLogPageView content/totalElements），其余全部列表默认 page=1（AdminPageView items/total）|翻页/筛选参数在不同模块语义不同，接口对账与排查成本高，后端若混用 pageBase 将错页|统一 pageBase=1 并在 api 层做 0/1 换算|open|batch-3|
R4-00441|d:\6\恋爱小程序\apps\admin\src\api\http.ts|148-167|B|P2|post/put/del 均不携带 Idempotency-Key，违反 API-CONTRACT.md:139「所有写接口必须携带 Idempotency-Key」约定；防重复仅靠各视图 saving 标志|弱网重试/双击时后端无幂等键可去重，重复扣款/重复建单风险（钱包调整/批量生成兑换码等资金类操作）|http.ts 统一注入 Idempotency-Key（UUID+session 缓存）|open|batch-3|
R4-00442|d:\6\恋爱小程序\apps\admin\src\stores\session.ts|121-156|B|P2|dev 回退登录分支保留在正式代码：isDev 时后端不可达即以 VITE_DEV_ADMIN_TOKEN 本地签发 ADMIN 会话；若生产构建机残留 VITE_DEV_* 环境变量则分支仍可被触发|生产环境可能绕过服务端凭据校验直接获得管理会话（构建环境变量污染时）|dev 分支移入 mock profile 代码或构建期强制校验无 VITE_DEV_* 残留|open|batch-3|
R4-00443|d:\6\恋爱小程序\apps\admin\src\router\guards.ts|156-159|B|P2|已登录访问任何未注册路径被静默重定向到菜单树首项，NotFound 页面实际不可达（除未登录场景），用户无法区分"路径不存在"与"权限不足"|错误路径无感知，运营排查错误链接困难；404 兜底行为与 NotFound.vue 展示逻辑矛盾|仅对已注册但无权限的路径回跳，未知路径保留 404 页|open|batch-3|
R4-00444|d:\6\恋爱小程序\apps\admin\src\views\NotFound.vue|22|B|P2|"返回首页"按钮 router.push({ name: "Dashboard" }) 硬编码路由 name，校区管理员无 Dashboard 权限时该 name 未注册，点击无响应|无 Dashboard 权限账号在 404 页点击返回按钮无效，卡死无引导|改为 findFirstMenuPath 兜底或 router.push('/')|open|batch-3|
R4-00445|d:\6\恋爱小程序\apps\admin\src\views\Layout.vue|440|T|P2|text 元素内嵌套 span（"{{ displayRole }}<span v-if=...>"），违反 uni-app text 不可嵌套非 text 的组件规范|mp/H5 平台渲染差异，web 端可显示但规范违规，跨端移植隐患|改用两个 text 或 view 包裹|open|batch-3|
R4-00447|d:\6\恋爱小程序\apps\admin\src\views\Dashboard.vue|99-109|F|P2|"最近活动"区块实为匹配趋势日数据（dailyTrend）映射为 activity 列表项，冒充活动流（注释自认"后端暂无独立的最近活动接口"）|运营看到"每天匹配 N 对"被包装成活动记录，语义误导|接入真实最近活动接口或改表格化趋势展示|open|batch-3|
R4-00448|d:\6\恋爱小程序\apps\admin\src\views\business\VipPlans.vue|1-64|F|P2|VIP 套餐页为 220 行纯静态占位页（plans 数组硬编码 ¥18/¥45/¥128，无任何接口请求），且与 API-CONTRACT.md:409 声称的 GET /api/v1/vip/plans 矛盾|运营无法在后台管理套餐价格，价格变更需改客户端配置+发版；契约与页面互相否定|后端补套餐管理端点并接入真实 CRUD|open|batch-3|
