DC01 | EXECUTED | NO-PNG | normal | 游客冷启动首帧：骨架 Loading→卡片 Success，不闪错误空态，登录胶囊避让 tabBar 浮岛
DC02 | EXECUTED | NO-PNG | normal | 已登录（身份A 100158）冷启动：卡片+三操作按钮齐全，tabBar selected=2，无登录胶囊
DC03 | EXECUTED | NO-PNG | normal | 推荐卡片信息完整性与头像兜底链：距离胶囊/在线徽章/匹配度徽章/无照片回退 hero 主视觉
DC04 | EXECUTED | NO-PNG | noop | 静置 Idle：无操作 30s 无循环请求、无报错（七态之 Idle）
DC05 | FAILED | NO-PNG | normal | 推荐空态：筛选无结果时文案「推荐暂时没有新的人，去「附近」看看吧」
DC06 | FAILED | NO-PNG | normal | 附近空态独立文案：「附近暂时没有可匹配的人，去看看推荐吧」
DC07 | FAILED | NO-PNG | normal | 错误横幅+重试：重试必须清 30s 缓存强制重拉（MP-R2-PAGES-DISCOVER-INDEX-003/002 回归）
DC08 | EXECUTED | NO-PNG | normal | 关闭态（match_open=false）：全页 EmptyState「匹配功能暂未开放，敬请期待」，无卡片无操作按钮
DC09 | EXECUTED | NO-PNG | normal | onShow 缓存窗口语义：30s 内切回不重拉不丢数据，30s 后切回真实重拉
DC10 | FAILED | NO-PNG | normal | 切「附近」分段：本地过滤 ≤20km、同校优先近→远排序、单一入口单次拉取
DC11 | EXECUTED | NO-PNG | normal | 附近↔推荐快速互切 5 次：数据不丢、状态不乱、滚动位与请求收敛
DC12 | EXECUTED | NO-PNG | critical | 左滑卡片=跳过（登录态副作用）：飞出动画+队列推进+pass 记录
DC13 | EXECUTED | NO-PNG | critical | 游客左滑本地放行：不调 pass 接口、无 401、不强拉登录页
DC14 | EXECUTED | NO-PNG | critical | 右滑卡片=喜欢（登录+实名）：路由进 matching?action=like 并携带 userId/cardId
DC15 | EXECUTED | NO-PNG | noop | 手势阈值语义：位移 8~120px 松手=cancel 回弹无副作用；<8px=tap 语义
DC16 | EXECUTED | NO-PNG | navigation | 点击卡片→他人主页 other?userId=<userId>；userId 缺失时守卫不跳转
DC17 | EXECUTED | NO-PNG | critical | 跳过按钮（登录态）：与左滑同语义，500ms 内可观测反馈
DC18 | EXECUTED | NO-PNG | critical | 喜欢主 CTA（登录+实名+额度内）：500ms 内进 matching?action=like
DC19 | EXECUTED | NO-PNG | critical | 喜欢按钮防连点×5：300ms 内快击 5 次只进 1 次 matching（铁律：主按钮防连点）
DC20 | EXECUTED | NO-PNG | critical | 未登录点喜欢/打招呼：Toast「请先登录后再使用该功能」，无路由变化（权限门）
DC21 | FAILED | NO-PNG | critical | 实名认证门控：未实名点喜欢弹「完成实名认证后开启」，确认去认证/取消留页
DC22 | EXECUTED | NO-PNG | critical | 打招呼（super-like）正常路径：进 matching?action=superLike 且 greet 计数+1
DC23 | EXECUTED | NO-PNG | critical | 打招呼频控：同卡当日第 4 次 Toast「已向TA打过3次招呼…」且不路由
