R2-00001|client|apps/client/src/pages/vip/index.vue|114-124|CRITICAL|subscribe() 无 useMock 分支,真实模式下"立即开通"仍走 setTimeout 模拟支付成功,从未调用 uni.requestPayment 且不通知后端|生产环境用户点击付费显示"开通成功"但未扣款、未开通 VIP,资金与体验双失控|按 apiMode 分支,real 模式接入 uni.requestPayment 完整回调(成功/取消/失败)并落后端订单
R2-00002|client|apps/client/src/pages/login/index.vue|236-254|CRITICAL|手机号+验证码登录仅本地正则校验(4-6 位任意数字)即"登录成功"并跳转,无后端接口、不写 token、不建会话|任意输入可绕过登录墙进入主流程,后续请求 401,用户数据隔离被击穿|接入 POST /auth/phone-login 真实链路,未实现前隐藏入口
R2-00003|client|apps/client/src/pages/login/index.vue|183-187|CRITICAL|发送验证码为纯本地演示:toast"已发送"+ 倒计时,无短信接口、无服务端校验|用户输入任意手机号即可"收到验证码",验证码登录形同虚设|接入 /auth/sms-code 接口,失败时提示且不启动倒计时
R2-00004|client|apps/client/src/pages/verification/index.vue|177-187|CRITICAL|simulateApprove()(模拟审核通过)无 isMockMode/DEV 守卫,真实用户提交认证后在"审核中"状态可见"模拟审核通过"按钮,点击直接变 verified|恋爱认证可被用户自行伪造,身份信任体系崩塌|删除该按钮或加环境守卫,接入 GET /verification/status 轮询
R2-00005|client|apps/client/src/pages/verification/index.vue|148-163|CRITICAL|恋爱认证(学生证)提交为本地 setTimeout 模拟 pending,无任何后端调用(TODO(后端) 自认)|认证功能整体未实现,用户提交即"审核中"且永不通过/拒绝|实现 POST /verification 与图片上传,未就绪前下线入口
R2-00006|client|apps/client/src/stores/session.ts|618-639|CRITICAL|bindSchool 仅本地改写 userSession,不调后端(TODO(real-env) 自认:不落库/无校验/不可撤销)|刷新或重登后 schoolBound 回退,首页"绑定学校"入口反复出现,绑定无真实约束|调用 POST /api/schools/bind 并用返回会话整体替换
R2-00007|client|apps/client/src/pages/vip/red-packet.vue|127-140|HIGH|红包创建成功后"分享"仅 toast 提示,无 uni.share/复制链接等任何真实分享能力|红包无法触达他人,付费功能形同虚设|接入微信分享/海报生成,或至少复制链接
R2-00008|client|apps/client/src/pages/village/post.vue|416|HIGH|发帖图片仅本地预览,提交时未上传后端(TODO(后端) 自认无上传端点)|生产环境用户选的图随请求丢失,发帖体验断裂|实现 /posts/images 上传后携带 URL 提交
R2-00009|client|apps/client/src/pages/circles/post-topic.vue|237|HIGH|兴趣圈发话题图片同样未上传(与 village/post.vue 相同 TODO)|话题配图在生产环境全部丢失|统一图片上传端点后接入
R2-00010|client|apps/client/src/pages/campus/certification.vue|84-85,116|HIGH|学生证图片仅取 chooseImage 临时路径直接当 studentCardUrl 提交,未先上传换取 URL|后端收到 wxfile:// 临时路径无法访问,认证图片必然失败|先调上传接口再提交 URL
R2-00011|client|apps/client/src/stores/chat/actions/messaging.ts|67|HIGH|uni.uploadFile url 硬编码 "/api/chat/voice",未拼接 appEnv.apiBaseUrl(其他请求均走 request 拼接)|apiBaseUrl 非根路径时语音上传 404/发错域名,语音消息在生产不可用|改为 `${appEnv.apiBaseUrl}/chat/voice`
R2-00012|client|apps/client/src/pages/love-center/nearby.vue|37-45|HIGH|"附近的人"列表为 7 条硬编码示例用户,无后端 API/定位,点击仅 toast|附近的人功能未实现,生产环境展示假用户|接入位置+推荐接口,未就绪前隐藏入口
R2-00013|client|apps/client/src/pages/activities/detail.vue|101-103|HIGH|未知活动 id 回退到内置示例活动,生产环境分享链接打开假数据|活动详情失真,用户被误导|未知 id 应展示"活动不存在"错误态
R2-00014|client|apps/client/src/pages/activities/detail.vue|180-182,202-203|HIGH|示例活动报名/退出为本地闭环(仅置位+toast),不调后端|生产环境"报名成功"无任何服务端记录,活动主办方数据错乱|示例活动禁止报名或走真实接口
