R4-00248|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|74-75,125,139|T|P3|注入 AesEncryptor 全类从未调用（grep 无 aesEncryptor. 使用），类注释声称 openid/phone 加密存储|加密承诺落空，依赖与文档不符|接入加密或删除未用依赖并修正注释|open|batch-4|
R4-00256|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|310-317,322-361|T|P3|findOrCreateUserForWechatLogin 的 @Transactional 因同类 self-invocation 不生效（javadoc 自认 AOP 不拦截内部调用），但注释称"事务保证原子性"|事务边界名不符实，未来多写场景无原子性|self-injection 或 TransactionTemplate 显式开启事务|open|batch-4|
R4-00257|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|767|B|P3|matchesPasswordWithMigration 历史明文兼容使用 rawPassword.equals(storedHash) 普通 equals 比较|迁移窗口期管理员密码存在时序侧信道（配合 DB 泄露可探测）|明文兼容仅限迁移期并改用恒定时间比较|open|batch-4|
R4-00258|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|695|H|P3|管理员登录成功日志输出原始 username（openid 即管理员账号标识，log.info("管理员登录成功...username={}")）|日志/APM 泄露管理员账号标识|username 经脱敏后输出|open|batch-4|
R4-00260|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\ThirdPartyAuthService.java|60,70,193|H|P3|注入 AesEncryptor 从未使用；unionId 明文存 third_party_accounts.union_id（setUnionId(unionId)）|死依赖 + 敏感标识明文落库|删除未用依赖；unionId 加密或哈希存储|open|batch-4|
R4-00261|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\ThirdPartyAuthController.java|95-101|D|P3|GET /bindings 无 @PreAuthorize，仅依赖 SecurityConfig 的 /api/v1/** 路径规则|权限语义分散，路径规则调整时易漏保护|显式 @PreAuthorize("hasRole('USER')")|open|batch-4|
R4-00262|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\ThirdPartyAuthController.java|113-119|D|P3|bindThirdParty 绑定被他人占用/已绑定该平台时静默返回 {success:false}，客户端无法区分原因|用户困惑，无错误提示与重试指引|返回区分业务错误码（ALREADY_BOUND / OPENID_TAKEN）|open|batch-4|
R4-00268|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\WechatAuthController.java|76-114|T|P3|与 AuthController.loginWithWechat(/wechat-login 旧路径) 重复实现同一登录端点与指标埋点|双端点双实现，响应契约漂移风险|合并为单端点保留兼容别名|open|batch-4|
R4-00269|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\MockAuthService.java|77-81|H|P3|mock 管理员登录日志输出原始 username（log.info("mock 管理员登录, username={}", username)）|mock 模式低危，但演示数据污染日志|脱敏输出|open|batch-4|
R4-00271|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\WeChatClient.java|46|H|P3|jscode2session 默认 URL 字面量硬编码于 @Value 默认值（https://api.weixin.qq.com/sns/jscode2session）|可配置兜底，默认正确，低危|保持配置注入即可|open|batch-4|
