R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\session.ts|25|H|P1|硬编码 mock 用户会话 userId "1"（mockUserSession.userId）|真实模式切换残留或误用 mock 身份时，用户数据隔离失效（likes/私信按 userId 归属错乱）|移入 mock 数据源（fixtures）并加 apiMode 守卫|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\session.ts|332-334|H|P1|isSuperTestAccount 硬编码 userId==="100000"（种子脚本固定体验账号，前端据此放行匹配无限/免费解锁）|真实用户若 userId 恰为 100000 即获得无限匹配与免付费旁路；dev 后门随正式包发布，商业化计费链路可被绕过|改为后端 feature flag 下发，禁止前端按 userId 判断|open|batch-1
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\session.ts|243-252|H|P2|资料完善度权重魔法数字（avatar20/nickname10/gender10/birthday10/school20/major10/interestTags10/bio10）|完善度算法与后端/设计口径无单一真相源，调整需改代码并重新发版|抽取到 constants 并注释业务依据|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\session.ts|394|H|P3|兜底文案硬编码中文「刷新会话失败」（errorMessage 回退）|绕过 i18n，en 语言下仍显示中文|改用 t("storeErrors.session.refreshFailed")|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\likes.ts|217-422|H|P2|mock 用户 ID 家族 user-2001~user-2318（mockLikes/mockLikedBy，含 user-2200~2217 与 user-2300~2318 两段不连续区间）|mock 数据随产物打包，ID 家族与真实用户体系割裂，联调/验收易被误认为真实账号|统一迁入 fixtures 且仅 mock 模式引用|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\likes.ts|632-653|S|P3|mockHeartSignals 的 toUserId 写死 "user-1001"，与 mock 当前用户 "1"（session.ts）及 mock 列表（user-2003/2006）均不匹配|mock 心动信号指向不存在的用户，演示信号列表自洽性差|统一 mock 用户 ID 体系（与 fixtures 对齐）|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\likes.ts|1157|H|P3|uni.showToast 文案硬编码「与 ${fromUserName} 互相喜欢了！」|绕过 i18n，en 语言下显示中文；通知语义重复（后端已推送）|改走 t("likes.mutualLikeToast")|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\likes.ts|1461-1474|B|P2|批量「跳过」real 分支为纯本地 filter 无后端调用（try/catch 内无 API 且 failed 永不为空）|real 模式批量跳过不持久化，刷新后「喜欢我」用户全部回弹，功能形同虚设|接入后端批量 skip 端点或逐条调用|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\likes.ts|1115-1147|B|P2|createHeartSignalForMutualLike 在客户端本地构造心动信号（real 模式同样执行），仅按本地 fromUserId+pending 去重|real 模式下与后端信号（/matches/heart-signals）并存，同一匹配可能产生幽灵/重复信号并重复 toast|real 模式移除本地造信号逻辑，依赖后端|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\village\utils.ts|664-785|H|P2|mock 作者 ID 家族 user-3001~user-3015（mockAuthors 15 人）|mock 用户 ID 与 likes(user-2xxx)/fixtures(4001~4007)/session("1") 多套体系并存，验收演示身份混乱|统一 mock 用户 ID 单一体系|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\village\utils.ts|630|H|P3|formatRelativeTime 硬编码中文「刚刚活跃」（diff<1 分钟）|绕过 i18n；en 语言显示中文|改走 t() 或复用公共相对时间工具|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\village\utils.ts|793-814|S|P3|mockActivities 固定活动日期 2026-08-09/2026-08-10（活动卡内嵌数据）|日期过即过期，演示数据随时间失真（活动 store 已改相对日期，此处未同步）|改用相对当前日期生成|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\village\index.ts|1033-1055|H|P2|fetchSimilarAuthors mock 返回硬编码 user-3004/user-3005（南风/北岛）|mock 作者家族与真实用户体系割裂|迁入 fixtures 统一管理|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\services\mocks\fixtures.ts|120-133|H|P2|mock 会话 userId "user-1001"（session 模块级可变状态，与 session.ts 的 "1" 并存）|同一 mock 用户存在两套 ID（"1" 与 "user-1001"），mock 身份语义分裂|统一为单一 mock 用户 ID|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\campus.ts|258-385|H|P2|mock 话题作者 ID 家族 u-1001~u-6002（学长小王/学生会长等）|mock 用户 ID 第四套体系（u-* 前缀），与其他 mock 家族完全割裂|统一 mock 用户 ID 体系|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\messages.ts|344-389|H|P3|mockSessions 使用 user-2001~user-2006 与 official-assistant/official-promoter 混合 ID|mock 会话对端 ID 家族与 likes mock 重叠但语义不同，演示数据易混淆|统一 mock 用户体系|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\messages.ts|620-621|H|P3|官方号 code 硬编码数组 ["official-assistant","official-promoter"]（real 模式逐个拉取消息流）|官方号列表写死两份，后端新增官方号需发版|改为从 /official-accounts 响应动态生成|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\stores\messages.ts|271-277|H|P3|buildLocalPreview 硬编码「[活动] 」前缀与「[活动] 活动卡片」兜底|绕过 i18n 的文案前缀|改走 i18n 模板|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\components\discover\FilterDrawer.vue|91-121|H|P3|省/市联动数据表硬编码 31 省市（如 "广东": ["广州","深圳",...]）|城市数据随代码维护，与后端配置/行政区划更新脱节|由后端 /config/filter-options 下发|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\components\discover\CardDetailOverlay.vue|245|H|P3|年龄兜底硬编码 "22"（headline 正则未命中时返回 "22"）|真实资料缺失时展示虚假年龄|改为 "--" 或由后端补全|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\services\sentry.ts|455|H|P3|直接读存储键字面量 "token"（未用 constants/app.ts 的 STORAGE_KEYS.AUTH_TOKEN）|存储键分散，改名不同步时上报通道静默失效|引用 STORAGE_KEYS|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\services\video-call.ts|178-181|H|P3|startCall 默认参数 callerId=1（mock 分支使用）|mock 发起方身份魔法数字，与真实 userId 体系割裂|从 session 获取|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\services\video-call.ts|205|H|P3|mock signalingUrl 硬编码 "wss://mock.example.com/signaling"|mock 地址指向不存在的域名，联调误导|改为可配置或本地占位|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\services\http.ts|442|H|P3|401 跳转 toast 硬编码「登录已过期，请重新登录」（656/676 重复出现）|绕过 i18n，en 语言显示中文|抽公共文案常量走 i18n|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\components\common\SafeImage.vue|6|H|P3|aria-label 兜底硬编码「图片」（alt || '图片'）|无障碍文案绕过 i18n|改走 t()|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\components\discover\CardDetailOverlay.vue|226|F|P2|兴趣圈成员数用 hash 伪造：members = 60 + (userId.charCodeAt(0) + idx*31) % 240|详情页展示的圈子人数为随机伪造值，与真实圈子数据脱节，误导用户|由后端圈子接口下发真实成员数|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\components\discover\CardDetailOverlay.vue|249-252|F|P2|匹配度分数前端伪造：Math.min(98, 80 + commonCircleCount*5)|匹配度非后端计算值，UI 展示的数字与推荐排序依据不一致|后端下发 matchScore 字段|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\services\env.ts|4|T|P2|@deprecated 历史 env 实现与 src/config/env.ts 双实现并存，仍被 utils/media.ts、stores/*、pages/* 大量引用|双环境配置真相源，修改一处另一处不同步导致行为漂移（如超时/回退逻辑）|完成迁移后删除 services/env.ts|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\config\env.ts|152-156|T|P1|注释称「不再回退到 http://localhost」，但生产环境未配置 VITE_API_BASE_URL 时仍 return "https://localhost:8080/api"（console.error 后静默回退）|生产缺配置时线上请求全部打向 localhost，且因仅 console.error 不抛错难以发现（与 services/env.ts 的 throw 策略不一致）|删除回退改为显式抛错（对齐 services/env.ts）|open|batch-1
