R4-00001|d:\6\恋爱小程序\apps\client\src\pages\login\index.vue|418-420|F|P1|Apple 登录假成功：uni.login(apple) 成功后直接 toast"登录成功"并跳转 discover，注释明示"省略与后端 /api/auth/third-party/apple 的 token 交换"，实际未建立会话（模拟登录）|用户以为 Apple 登录成功，实际未登录，跳转后被守卫踢回登录页，信任受损|接入后端 Apple token 交换，未实现前移除入口|open|batch-2|
R4-00002|d:\6\恋爱小程序\apps\client\src\pages\login\index.vue|588-589|H|P3|展示模式入口中文文案硬编码"以演示者身份进入展示版/超级管理员模式 · 一键体验全部功能"，绕过 i18n（页内其余文案均走 t()）|展示构建文案无法随语言切换|文案迁移到 i18n 资源|open|batch-4|
R4-00003|d:\6\恋爱小程序\apps\client\src\pages\login\index.vue|37|T|P3|验证码倒计时状态机死代码：countdown/pauseCountdown/resumeCountdown（L107-138）与 .send-code-btn 样式（L914-940）无消费方——本页为手机号+密码登录，模板无验证码 UI|维护成本与误导（后人以为有验证码功能）|删除倒计时逻辑与对应样式|open|batch-4|
R4-00004|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|257-271|F|P1|空闲时段 ActionSheet 三选项（添加课程/活动/自定义）选中后仅 toast"编辑中"（courseEditing 等）无任何后续，功能未闭环|用户无法在首页添加课表安排，入口为假按钮|接入 schedule 编辑链路或移除入口|open|batch-2|
R4-00005|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|295|H|P2|签到成功 toast 奖励硬编码 n=5（t('home.checkinReward', { n: 5 })），与 L411 earnedPoints（extraRecommendations || 5）动态值可脱节|后端奖励非 5 时 toast 与分享卡片数字矛盾，误导用户|奖励数从 store 结果取|
R4-00006|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|835-881|T|P3|死样式集群：.notification-btn/.settings-btn/.notification-dot（L835-881）、.banner-*（L1248-1354）、.recommend-*（L1468-1568）、.post-*（L1746-1967）、.shop-*（L1902-1967）、.fab-*（L2049-2101）模板均无引用（注释已移除对应模块）|产物体积与样式维护成本|删除未引用样式块|open|batch-4|
R4-00007|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|39-40|T|P3|注释"首页 = 索引 2"与 useTabBar(0) 实参矛盾（discover/index.vue L50 注释称"tab 顺序：首页0/匹配1…"），两页注释互斥|误导 tab 索引维护，改 tab 时易出错|统一修正注释|open|batch-4|
R4-00008|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|619-650|F|P3|活动横滚区无空态：activityStore.activities 为空时仅渲染空白横向滚动区，无提示|空数据时页面模块显空白|增加空态占位|open|batch-4|
R4-00009|d:\6\恋爱小程序\apps\client\src\pages\discover\index.vue|113-115|H|P2|匹配成功动画头像硬编码固定占位图 partnerAvatar=AVATAR_1 / myAvatar=AVATAR_2（注释承认"UserSession 无 avatarUrl 字段"）|用户本人与对方头像非真实头像，匹配场景信任受损|会话/卡片数据源补齐真实头像|open|batch-3|
R4-00010|d:\6\恋爱小程序\apps\client\src\pages\discover\index.vue|376-401|T|P3|[AUTOSHOT] 自动化走查钩子残留生产代码：URL shot 参数可驱动自动打开详情/签到/筛选弹窗|测试专用后门入口，扩大攻击面|移入测试专用构建|open|batch-4|
