R4-00247|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\AesEncryptor.java|173-177|B|P2|decrypt 解密失败（认证标签不匹配/密钥轮换后旧密文）时静默返回密文原值（"AES 解密失败，原样返回输入"）|篡改或换密钥后密文被当作明文读回、存回，数据损坏且无感知|解密失败抛业务异常或返回明确失败标记，由调用方处理|open|batch-3|
R4-00250|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|115|H|P2|体验账号黑名单手机号硬编码 GUEST_BLACKLIST_PHONE="13900000000"|真实号段被占用，更换体验号需改代码重新发版|移入配置项 app.guest-login.blacklist-phone|open|batch-3|
R4-00252|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|539-554|B|P2|loginAsGuest 并发首登 findByPhone 后直接 save，无 DataIntegrityViolationException 兜底（对比 registerUser 有 A-34 兜底）|并发首个体验请求触发 uk_users_phone 唯一约束冲突返回 500|捕获唯一约束冲突后重查既有体验账号|open|batch-3|
R4-00253|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|986|B|P2|buildSessionView 登录方式硬编码 "wechat"，phone/guest/admin 登录返回会话 loginMethod 均为 wechat|前端展示与后台在线用户列表登录方式失真|按实际登录方式传入 loginMethod|open|batch-3|
R4-00254|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|254-257|B|P2|微信登录失败消息拼接上游异常原文（"微信服务暂时不可用：" + ex.getMessage()），经 WechatLoginException 透传客户端|微信接口/网络错误细节（URL、内部信息）泄露给终端用户|仅返回固定友好文案，细节进日志|open|batch-3|
R4-00255|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|389-411|B|P2|refreshToken 先签发新 token（389 行）再查用户，且不检查 user.isDisabled()|被禁用用户刷新仍返回 loggedIn=true 会话（受保护端点 401，行为不一致）|刷新前校验用户存在且未被禁用|open|batch-3|
R4-00264|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AuthController.java|111-115|B|P2|register 公开端点无 @RateLimit，且已注册手机号返回 400 "该手机号已注册"|注册接口可批量刷量；错误文案可枚举手机号是否注册|加限流；注册/登录失败统一文案防枚举|open|batch-3|
R4-00265|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AuthController.java|296-306|T|P2|loginAsAdmin 通过 Environment/AbstractEnvironment 类型反射 + getActiveProfiles().contains("mock") 判断 mock profile|逻辑晦涩、强依赖 Spring 内部类，维护与测试成本高|注入配置标志或 Profile 解析器|open|batch-3|
R4-00266|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AuthController.java|273-274|B|P2|/admin/login 标注 @Idempotent(required=true)，幂等键在业务执行前 SETNX 且失败不释放|密码输错一次后同 key 重试 4 小时内被 409 拦截，前端复用 key 则登录锁死|登录失败后释放幂等键或 required=false|open|batch-3|
R4-00267|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\RateLimited.java|33|T|P2|config.RateLimited 注解与 RateLimitConfig AOP 切面全项目无任何业务引用（grep 仅自身定义），实际限流走 com.campuslove.api.ratelimit.RateLimit|两套限流框架并存，一套死代码，维护者易误用|删除 config 包死代码或统一到一套框架|open|batch-3|
R4-00272|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtAuthenticationFilter.java|159-160|T|P2|每请求 userRepository.findById 查库判定角色/禁用状态（注释自认"每次请求都查询数据库"）|高并发下每请求一次 DB 往返放大数据库压力|角色/状态写入 JWT claims 或短 TTL 本地缓存|open|batch-3|
R4-00273|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtAuthenticationFilter.java|103-110|B|P2|/api/v1/media/** 支持 ?token= 查询参数携带完整 JWT|token 进入 URL，可能泄露到访问日志/Referer/浏览器历史|改签名短时 URL 或 Referer 校验|open|batch-3|
R4-00277|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\JwtAuthenticationEntryPoint.java|76-81,107-109|B|P2|commence 自行 UUID 生成 traceId，未复用 MDC 中 TraceIdFilter 注入的 traceId（对比 GlobalExceptionHandler.generateTraceId 读 MDC）|401 响应的 X-Trace-Id 与请求链路 traceId 不一致，日志串联断裂|改为优先读 MDC|open|batch-3|
R4-00280|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtChannelInterceptor.java|30-33|T|P2|JwtChannelInterceptor/WebSocketConfig 无 @Profile 限制，mock 模式同样强制真实 JWT 校验（mock-token 无法通过 validateToken）|mock 模式 WebSocket 连接必然失败，双 profile 行为不一致|mock 分支跳过校验或提供 mock 校验器|open|batch-3|
R4-00285|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\RedisConfig.java|321-324|B|P2|Jackson2JsonRedisSerializer 启用 default typing(NON_FINAL + PROPERTY) 写入 @class 类型信息|多态反序列化攻击面，Redis 可写场景下存在 gadget 风险|改为白名单 ObjectMapper 或仅对受信类型开启|open|batch-3|
R4-00286|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\RateLimitConfig.java|70-71|B|P2|RateLimiter.buckets ConcurrentHashMap 无清理机制，按 IP/用户限流键只增不减|长期运行内存持续增长直至 OOM 风险|定期清理空闲桶或 LRU|open|batch-3|
