R4-00345|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletController.java|175-182|H|P3|硬编码中文错误提示（"演示充值已关闭，请通过官方充值渠道完成支付"等）|错误文案无法 i18n|移入消息资源|open|batch-4|
R4-00399|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockRuntimeState.java|65-156|H|P3|recommendedPeople/discussionRecommendations/activityRecommendations 全部中文文案与 /uploads/mock/avatar-*.jpg 硬编码|mock 模式无 i18n，改文案需改代码|同上|open|batch-4|
R4-00404|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusCertificationService.java|165-166|H|P3|simulateApprove 硬编码 reviewerId=1L 与中文备注"模拟认证：直接通过"|mock 审核人身份固定|占位常量|open|batch-4|
R4-00406|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockNotificationService.java|142-150|H|P3|通知摘要中文文案拼接（"关注了你""赞了你的帖子"）绕过 i18n|mock 通知不可国际化|抽 i18n|open|batch-4|
R4-01344|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\RealCampusService.java|123|H|P3|中文 throw 消息未走 i18n（有 I18nConfig/messages.properties 未用）("userId 不能为空")|错误文案硬编码中文，前端无国际化能力，多语言/文案调整需发版|改用 MessageSource.getMessage 从 messages*.properties 取文案|open|batch-4|
R4-01345|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\RealCampusService.java|126|H|P3|中文 throw 消息未走 i18n（有 I18nConfig/messages.properties 未用）("schoolId 不能为空")|错误文案硬编码中文，前端无国际化能力，多语言/文案调整需发版|改用 MessageSource.getMessage 从 messages*.properties 取文案|open|batch-4|
R4-01346|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\RealCampusService.java|129|H|P3|中文 throw 消息未走 i18n（有 I18nConfig/messages.properties 未用）("category 不能为空")|错误文案硬编码中文，前端无国际化能力，多语言/文案调整需发版|改用 MessageSource.getMessage 从 messages*.properties 取文案|open|batch-4|
R4-01347|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\RealCampusService.java|132|H|P3|中文 throw 消息未走 i18n（有 I18nConfig/messages.properties 未用）("title 不能为空")|错误文案硬编码中文，前端无国际化能力，多语言/文案调整需发版|改用 MessageSource.getMessage 从 messages*.properties 取文案|open|batch-4|
R4-01348|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\RealCampusService.java|165|H|P3|中文 throw 消息未走 i18n（有 I18nConfig/messages.properties 未用）("topicId 不能为空")|错误文案硬编码中文，前端无国际化能力，多语言/文案调整需发版|改用 MessageSource.getMessage 从 messages*.properties 取文案|open|batch-4|
R4-01349|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\RealCampusService.java|168|H|P3|中文 throw 消息未走 i18n（有 I18nConfig/messages.properties 未用）("userId 不能为空")|错误文案硬编码中文，前端无国际化能力，多语言/文案调整需发版|改用 MessageSource.getMessage 从 messages*.properties 取文案|open|batch-4|
