R4-00435|d:\6\恋爱小程序\apps\admin\src\api\http.ts|12-18,89|B|P1|JWT 明文存于 localStorage（getToken 读 admin_v2_token），无 HttpOnly Cookie/刷新机制，任何 XSS 可窃取管理员令牌（注释自认"改进方向需后端协同"但未实施）|管理后台令牌泄露即全站运营权限沦陷，XSS 链一旦存在则无任何缓解|迁移 HttpOnly Cookie+CSRF 或短 token+refresh 双 token 机制|open|batch-2|
R4-01953|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|84|H|P2|硬编码中文用户可见文案未走 $t()/t()（加载活动列表失败）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01954|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|200|H|P2|硬编码中文用户可见文案未走 $t()/t()（活动标题不能为空）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01955|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|204|H|P2|硬编码中文用户可见文案未走 $t()/t()（活动地点不能为空）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01956|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|236|H|P2|硬编码中文用户可见文案未走 $t()/t()（保存失败）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01957|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|333|H|P2|硬编码中文用户可见文案未走 $t()/t()（维护活动信息、上架状态与报名数据）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01958|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|345|H|P2|硬编码中文用户可见文案未走 $t()/t()（全部状态）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01959|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|356|H|P2|硬编码中文用户可见文案未走 $t()/t()（新建活动）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01960|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|382|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无活动数据）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01961|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|429|H|P2|硬编码中文用户可见文案未走 $t()/t()（新建活动/编辑活动）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-01962|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|433|H|P2|硬编码中文用户可见文案未走 $t()/t()（请输入活动标题（必填））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
