R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\AesEncryptor.java|88|H|P0|strictAes=false 时未配置 APP_AES_SECRET 回退硬编码公开兜底密钥 "campus-love-default-aes-key-change-in-production-32bytes"（secret = "campus-love-default-aes-key..."）|openid/phone 等敏感字段用公开密钥 AES-GCM 加密约等于明文，数据库泄露即可解密接管用户身份|删除兜底密钥，未配置密钥且非严格模式时拒绝加密写操作；生产启动强制 strictAes|open|batch-1
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\AesEncryptor.java|173-177|B|P2|decrypt 解密失败（认证标签不匹配/密钥轮换后旧密文）时静默返回密文原值（"AES 解密失败，原样返回输入"）|篡改或换密钥后密文被当作明文读回、存回，数据损坏且无感知|解密失败抛业务异常或返回明确失败标记，由调用方处理|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|74-75,125,139|T|P3|注入 AesEncryptor 全类从未调用（grep 无 aesEncryptor. 使用），类注释声称 openid/phone 加密存储|加密承诺落空，依赖与文档不符|接入加密或删除未用依赖并修正注释|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|456-457|H|P1|注册用户 phone 明文存储，且 openid 字段写入 "phone:"+phone 明文（setOpenid("phone:" + phone); setPhone(phone)）|数据库泄露即暴露全部真实手机号，违反个人信息保护合规|phone 经 AesEncryptor 加密存储或使用不可逆派生键|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|115|H|P2|体验账号黑名单手机号硬编码 GUEST_BLACKLIST_PHONE="13900000000"|真实号段被占用，更换体验号需改代码重新发版|移入配置项 app.guest-login.blacklist-phone|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|533-567|D|P1|loginAsGuest 全体验用户共用一个固定账号（13900000000，昵称体验用户），会话身份无隔离|体验用户私信/匹配/点赞数据互相污染；商业化误开该入口即数据隔离失效|按会话生成独立临时账号，或体验数据限内存/独立库|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|539-554|B|P2|loginAsGuest 并发首登 findByPhone 后直接 save，无 DataIntegrityViolationException 兜底（对比 registerUser 有 A-34 兜底）|并发首个体验请求触发 uk_users_phone 唯一约束冲突返回 500|捕获唯一约束冲突后重查既有体验账号|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|986|B|P2|buildSessionView 登录方式硬编码 "wechat"，phone/guest/admin 登录返回会话 loginMethod 均为 wechat|前端展示与后台在线用户列表登录方式失真|按实际登录方式传入 loginMethod|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|254-257|B|P2|微信登录失败消息拼接上游异常原文（"微信服务暂时不可用：" + ex.getMessage()），经 WechatLoginException 透传客户端|微信接口/网络错误细节（URL、内部信息）泄露给终端用户|仅返回固定友好文案，细节进日志|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|389-411|B|P2|refreshToken 先签发新 token（389 行）再查用户，且不检查 user.isDisabled()|被禁用用户刷新仍返回 loggedIn=true 会话（受保护端点 401，行为不一致）|刷新前校验用户存在且未被禁用|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|310-317,322-361|T|P3|findOrCreateUserForWechatLogin 的 @Transactional 因同类 self-invocation 不生效（javadoc 自认 AOP 不拦截内部调用），但注释称"事务保证原子性"|事务边界名不符实，未来多写场景无原子性|self-injection 或 TransactionTemplate 显式开启事务|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|767|B|P3|matchesPasswordWithMigration 历史明文兼容使用 rawPassword.equals(storedHash) 普通 equals 比较|迁移窗口期管理员密码存在时序侧信道（配合 DB 泄露可探测）|明文兼容仅限迁移期并改用恒定时间比较|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|695|H|P3|管理员登录成功日志输出原始 username（openid 即管理员账号标识，log.info("管理员登录成功...username={}")）|日志/APM 泄露管理员账号标识|username 经脱敏后输出|open|batch-4
