identity	file	bytes	dim	gray_std	entropy	colors	status
A	PAGES_DISCOVER_INDEX-默认.png	220871	377x814	98.11	6.05	63381	ok
A	PAGES_HOME_INDEX-滚动后.png	115841	377x814	49.1	3.59	17522	ok
A	PAGES_HOME_INDEX-默认.png	158478	377x814	67.38	4.87	29048	ok
A	PAGES_LOGIN_INDEX-交互后.png	105428	377x814	70.87	4.06	15262	ok
A	PAGES_LOGIN_INDEX-默认.png	166791	377x814	55.78	4.61	49885	ok
A	PAGES_MESSAGES_INDEX-默认.png	111848	377x814	51.38	3.58	11963	ok
A	PAGES_NEARBY_INDEX-滚动后.png	201816	377x814	65.92	4.6	50475	ok
A	PAGES_NEARBY_INDEX-默认.png	129262	377x814	47.51	4.23	29438	ok
A	PAGES_PROFILE_INDEX-滚动后.png	95964	377x814	44.43	3.23	7060	ok
A	PAGES_PROFILE_INDEX-默认.png	123357	377x814	49.31	4.54	11470	ok
A	PAGES_REGISTER_INDEX-交互后.png	118649	377x814	43.93	4.39	17877	ok
A	PAGES_REGISTER_INDEX-默认.png	118649	377x814	43.93	4.39	17877	ok
A	PAGES_REGISTER_SUCCESS-默认.png	76375	377x814	68.82	3.69	4390	ok
A	SUBPACKAGES_CAMPUS_CAMPUS_CERTIFICATION-默认.png	78688	377x814	48.17	2.47	5237	ok
A	SUBPACKAGES_CAMPUS_CAMPUS_HUB-滚动后.png	221727	377x814	64.64	4.77	56356	ok
A	SUBPACKAGES_CAMPUS_CAMPUS_HUB-默认.png	174667	377x814	60.86	4.59	34912	ok
A	SUBPACKAGES_CAMPUS_CAMPUS_POST-TOPIC-默认.png	68451	377x814	44.76	3.17	6111	ok
A	SUBPACKAGES_CAMPUS_CAMPUS_TOPIC-DETAIL-默认.png	39604	377x814	42.28	1.77	4767	ok
A	SUBPACKAGES_CHAT_CHAT-SESSION_INDEX-默认.png	43047	377x814	40.06	1.76	4511	ok
A	SUBPACKAGES_CHAT_OFFICIAL-CHAT_INDEX-默认.png	143522	377x814	61.93	4.41	25346	ok
A	SUBPACKAGES_CIRCLES_CIRCLES_CIRCLE-HOME-默认.png	194651	377x814	61.73	5.09	56864	ok
A	SUBPACKAGES_CIRCLES_CIRCLES_INDEX-默认.png	174784	377x814	49.49	4.19	36373	ok
A	SUBPACKAGES_CIRCLES_CIRCLES_POST-TOPIC-默认.png	66339	377x814	44.37	3.18	5900	ok
A	SUBPACKAGES_CIRCLES_CIRCLES_TOPIC-DETAIL-默认.png	40143	377x814	45.44	1.9	3313	ok
A	SUBPACKAGES_CIRCLES_CIRCLES_TOPICS-默认.png	54691	377x814	46.4	2.13	4926	ok
A	SUBPACKAGES_DISCOVER-EXTRA_DISCOVER_HISTORY-默认.png	39703	377x814	38.53	2.6	3058	ok
A	SUBPACKAGES_DISCOVER-EXTRA_DISCOVER_MATCH-SUCCESS-默认.png	129188	377x814	56.11	4.56	17612	ok
A	SUBPACKAGES_DISCOVER-EXTRA_HOME_SEGMENT-默认.png	92511	377x814	53.44	2.67	16826	ok
A	SUBPACKAGES_DISCOVER-EXTRA_LIKES-VISITORS_INDEX-默认.png	121457	377x814	54.64	3.4	13333	ok
A	SUBPACKAGES_DISCOVER-EXTRA_LIKES_INDEX-默认.png	135129	377x814	52.89	3.94	16099	ok
A	SUBPACKAGES_DISCOVER-EXTRA_NEARBY_PEOPLE-默认.png	70692	377x814	43.59	2.35	4004	ok
A	SUBPACKAGES_DISCOVER_ACTIVITIES_INDEX-默认.png	101071	377x814	46.14	2.99	5906	ok
A	SUBPACKAGES_DISCOVER_DISCUSSIONS_INDEX-默认.png	81981	377x814	46.63	2.7	4626	ok
A	SUBPACKAGES_LEGAL_AGREEMENT_INDEX-默认.png	183430	377x814	49.58	3.2	3655	ok
A	SUBPACKAGES_LEGAL_PRIVACY_INDEX-默认.png	199901	377x814	50.45	3.37	3830	ok
A	SUBPACKAGES_MARKET_DETAIL_INDEX-默认.png	23150	377x814	38.55	0.92	2292	ok
A	SUBPACKAGES_MARKET_SHOP_INDEX-默认.png	29339	377x814	38.82	2.14	2395	ok
A	SUBPACKAGES_MARKET_WALLET_INDEX-默认.png	29927	377x814	43.97	1.88	2836	ok
A	SUBPACKAGES_PROFILE-EXTRA_FEEDBACK_HISTORY-默认.png	66342	377x814	44.21	2.14	4307	ok
A	SUBPACKAGES_PROFILE-EXTRA_PROFILE_ALBUM-默认.png	138480	377x814	66.95	4.69	39811	ok
A	SUBPACKAGES_PROFILE-EXTRA_PROFILE_FAVORITES-默认.png	82020	377x814	53.1	2.45	15888	ok
A	SUBPACKAGES_PROFILE-EXTRA_PROFILE_LOCATION-默认.png	110350	377x814	46.57	3.7	14878	ok
A	SUBPACKAGES_PROFILE-EXTRA_PROFILE_OTHER-默认.png	281735	377x814	68.14	5.67	61587	ok
A	SUBPACKAGES_PROFILE-EXTRA_PROFILE_PRIVACY-默认.png	40802	377x814	44.57	2.18	3760	ok
A	SUBPACKAGES_PROFILE-EXTRA_PROFILE_TASKS-默认.png	79102	377x814	43.92	3.93	3830	ok
A	SUBPACKAGES_PROFILE-EXTRA_PROFILE_VISITORS-默认.png	123590	377x814	51.31	3.24	17251	ok
A	SUBPACKAGES_PROFILE-EXTRA_SETTINGS_DND-默认.png	75249	377x814	46.18	3.55	5380	ok
A	SUBPACKAGES_PROFILE-EXTRA_SETTINGS_INDEX-默认.png	63930	377x814	42.36	2.62	4504	ok
A	SUBPACKAGES_PROFILE-EXTRA_VERIFICATION_INDEX-默认.png	87608	377x814	42.38	3.46	5567	ok
A	SUBPACKAGES_PROFILE-EXTRA_VERIFICATION_REAL-NAME-默认.png	85953	377x814	43.77	3.84	6150	ok
A	SUBPACKAGES_SETUP_CAMPUS_INDEX-默认.png	78718	377x814	46.13	3.17	5935	ok
A	SUBPACKAGES_SETUP_INTEREST_INDEX-默认.png	101154	377x814	47.88	2.44	4235	ok
A	SUBPACKAGES_SETUP_PROFILE_INDEX-默认.png	191504	377x814	68.49	4.83	48873	ok
A	SUBPACKAGES_SETUP_RECOMMEND-PREF_INDEX-默认.png	81812	377x814	48.17	3.18	5728	ok
