R4-00001|d:\6\恋爱小程序\apps\client\src\pages\login\index.vue|418-420|F|P1|Apple 登录假成功：uni.login(apple) 成功后直接 toast"登录成功"并跳转 discover，注释明示"省略与后端 /api/auth/third-party/apple 的 token 交换"，实际未建立会话（模拟登录）|用户以为 Apple 登录成功，实际未登录，跳转后被守卫踢回登录页，信任受损|接入后端 Apple token 交换，未实现前移除入口|open|batch-2|
R4-00004|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|257-271|F|P1|空闲时段 ActionSheet 三选项（添加课程/活动/自定义）选中后仅 toast"编辑中"（courseEditing 等）无任何后续，功能未闭环|用户无法在首页添加课表安排，入口为假按钮|接入 schedule 编辑链路或移除入口|open|batch-2|
R4-00012|d:\6\恋爱小程序\apps\client\src\pages\discover\history.vue|60-77|F|P1|历史列表对已滑过卡片回退到占位数据：viewedCards 仅存 cardId/userId，getCardDetail 兜底返回"默认昵称"+空头像/签名（模板 L177/184 展示）|历史记录页核心内容不可识别，用户无法回看已滑用户，功能价值缺失|历史记录持久化昵称/头像字段|open|batch-2|
R4-00026|d:\6\恋爱小程序\apps\client\src\pages\verification\index.vue|149-163|F|P1|认证提交为本地模拟：注释明确"无恋爱认证提交接口"，1s 后本地置 pending；学生证图片仅本地临时路径（chooseImage 未上传）|恋爱认证功能未落地，用户上传的学生证永不达审核方，认证信任体系断裂|接入后端提交/图片上传端点|open|batch-2|
R4-00027|d:\6\恋爱小程序\apps\client\src\pages\verification\index.vue|22|B|P1|认证状态无任何加载逻辑：status 恒为初始 unverified（无 onLoad/onMounted 拉取），已认证用户进入页面显示"未认证"+表单|认证状态展示错误，用户困惑；注释 L5"mock 默认已认证"亦与实现矛盾|onLoad 拉取真实认证状态|open|batch-2|
R4-00028|d:\6\恋爱小程序\apps\client\src\pages\verification\index.vue|191-226|F|P2|resetVerification/removeVerification 仅本地翻转 status，无后端解除认证调用|"解除认证"实际未解除，会话/后端状态不一致|接入后端接口|open|batch-2|
R4-00031|d:\6\恋爱小程序\apps\client\src\pages\love-center\consulting.vue|41-44|F|P1|课程报名按钮仅 toast"报名成功"（signupSuccess），无报名/支付链路（注释"真实报名/支付链路接入后端"）|商业化付费链路为假按钮，用户付费期望落空|接入真实报名/支付|open|batch-2|
R4-00033|d:\6\恋爱小程序\apps\client\src\pages\love-center\mbti.vue|87-91|F|P2|MBTI 测试结果仅 toast 展示（2.5s 消失），无结果页/记录/保存|测试结果无法回看，无留存价值|结果落地页或存储|open|batch-2|
R4-00036|d:\6\恋爱小程序\apps\client\src\pages\daily-question\index.vue|200|B|P2|回答作者字段契约失配：openapi DailyAnswerView.author.displayName vs 前端 answer.authorName；非匿名时 L200 `answer.authorName[0]` 对 undefined 直接抛 TypeError 页面崩溃|后端按契约返回时回答列表作者名空白甚至崩溃|字段映射对齐（author.displayName）|open|batch-2|
R4-00037|d:\6\恋爱小程序\apps\client\src\pages\shop\index.vue|99-112|F|P1|商品详情页未注册（注释明确断链），全部商品点击仅 toast"开发中"（detailDeveloping），商城无详情/购买链路|逛逛页商业化链路断裂，积分余额无消费场景|注册详情页或隐藏商品入口|open|batch-2|
R4-00045|d:\6\恋爱小程序\apps\client\src\subpackages\setup\schedule\index.vue|18-24|H|P1|注册流程表单预填示例值："图书馆和北草坪"/["今晚","本周"]/courseBlocks 设计课课表，新用户直接保存即提交示例假数据入库|注册用户资料被示例数据污染，课表/偏好失真|默认值置空|open|batch-2|
R4-00046|d:\6\恋爱小程序\apps\client\src\subpackages\setup\schedule\index.vue|21-23|B|P1|courseBlocks 示例课表未在模板渲染（用户不可见、无法编辑，review #66 仅修了 timeWindows）却随 {...form}（L45）提交后端|不可见假课表入库或课表功能整体缺失|渲染课表字段或从提交中剔除|open|batch-2|
R4-00048|d:\6\恋爱小程序\apps\client\src\subpackages\setup\recommend-pref\index.vue|85-87|B|P2|接口契约失配：前端 GET/PUT /recommendations/preferences/me（L126-135 PUT body 用 preferredTime 字段），而 docs/openapi/recommendations.yaml 为 /recommendations/preferences 且字段 dailyNotifyTime|契约漂移，后端调整时前端 404 或字段丢失|对齐 openapi 契约（路径与字段名）|open|batch-2|
R4-00055|d:\6\恋爱小程序\apps\client\src\pages\village\index.vue|212-227|S|P1|“模拟认证一键通过（演示）”按钮无环境门控（SchoolCircleGate 组件无条件渲染 simulate 按钮，与注释“仅在非纯前端 mock 模式显示”矛盾），真实模式任意用户可一键绕过校园认证|认证形同虚设，校园频道/同校推荐数据可信度崩塌，合规风险|simulate 按钮收敛到 mock/演示包，生产移除或加权限守卫|open|batch-2|
R4-00056|d:\6\恋爱小程序\apps\client\src\pages\campus\certification.vue|113-117|B|P1|学生证照片未先上传：submitCertification 将 chooseImage 本地临时路径（tempFilePath）作为 studentIdCardUrl 直接 POST，real 模式后端无法访问该地址|审核人员无法查看学生证，认证流程功能性失效|先调 uploadFileViaUni 上传换取 URL 再提交|open|batch-2|
R4-00057|d:\6\恋爱小程序\apps\client\src\pages\profile\album.vue|237-254|F|P1|“设为头像”为纯本地数组重排（splice/unshift 仅改 photoGallery），注释称更新 sessionStore 但代码无任何调用，刷新页面后恢复原状|用户以为已换头像，实际未生效，交互闭环造假|接入 avatar 上传/置换接口或移除入口|open|batch-2|
R4-00058|d:\6\恋爱小程序\apps\client\src\pages\profile\tasks.vue|118-122|F|P1|任务中心“每日签到”点击即本地置 done=true（“本地立即完成（演示态）”），未调用真实 GET/POST /check-in 接口，积分/连签不发|任务奖励体系虚假，用户签到数据不落库|接入 clientApi.checkIn/getCheckInStatus 真实链路|open|batch-2|
R4-00060|d:\6\恋爱小程序\apps\client\src\pages\security\index.vue|79-93|F|P1|“修改密码”仅本地校验 6-20 位+两次一致后 toast 成功，无任何后端调用，密码从未被修改|安全中心核心功能是假的，用户修改密码后旧密码仍有效|接入真实改密接口（含旧密码校验）|open|batch-2|
R4-00061|d:\6\恋爱小程序\apps\client\src\pages\security\index.vue|138-150|F|P1|“注销账号”为演示态：仅弹窗提示客服协助（注释“真实链路调用后端注销接口”未实现）|用户无法注销账号，隐私合规风险|接入 account/deactivate 后端接口|open|batch-2|
R4-00067|d:\6\恋爱小程序\apps\client\src\pages\wallet\index.vue|43-66|F|P1|“演示充值”按钮：无支付流程直接 POST /wallet/recharge 入账 10000 分（订单号 RECHARGE-DEMO-{ts} 仅作幂等键），真实模式用户可无限刷余额|资金风险：等于免费印钞，账单与收入对不上|移除演示充值或接入真实支付回调|open|batch-2|
R4-00068|d:\6\恋爱小程序\apps\client\src\pages\vip\index.vue|155-177|F|P1|“立即开通”真实模式仅 toast “功能建设中”（支付未接入），mock 模式 setTimeout 假支付成功弹“开通成功”但未真正开通 VIP|VIP 商业化链路断裂，mock 下用户被虚假成功误导|接入微信支付/后端订单闭环|open|batch-2|
R4-00069|d:\6\恋爱小程序\apps\client\src\pages\chat\video-call.vue|139-159,383-403|F|P1|视频通话无真实推拉流：pusherUrl/playerUrl 恒为空字符串（“真实环境填入信令服务器返回的推流地址”），live-pusher/live-player v-if 永不渲染，通话全程无视频|核心功能假实现，用户进入通话黑屏|接入信令/RTC 推拉流|open|batch-2|
R4-00071|d:\6\恋爱小程序\apps\client\src\pages\circles\post-topic.vue|324-329|F|P1|话题图片真实模式未上传：仅 console.warn 提示（“等待上传接口接入”），本地临时路径随 createTopic 提交，后端无法访问|话题配图在 real 模式全部裂图|先调 uploadPostImage 上传再提交|open|batch-2|
R4-00121|d:\6\恋爱小程序\apps\client\src\stores\session.ts|25|H|P1|硬编码 mock 用户会话 userId "1"（mockUserSession.userId）|真实模式切换残留或误用 mock 身份时，用户数据隔离失效（likes/私信按 userId 归属错乱）|移入 mock 数据源（fixtures）并加 apiMode 守卫|open|batch-2|
R4-00128|d:\6\恋爱小程序\apps\client\src\stores\likes.ts|1461-1474|B|P2|批量「跳过」real 分支为纯本地 filter 无后端调用（try/catch 内无 API 且 failed 永不为空）|real 模式批量跳过不持久化，刷新后「喜欢我」用户全部回弹，功能形同虚设|接入后端批量 skip 端点或逐条调用|open|batch-2|
R4-00129|d:\6\恋爱小程序\apps\client\src\stores\likes.ts|1115-1147|B|P2|createHeartSignalForMutualLike 在客户端本地构造心动信号（real 模式同样执行），仅按本地 fromUserId+pending 去重|real 模式下与后端信号（/matches/heart-signals）并存，同一匹配可能产生幽灵/重复信号并重复 toast|real 模式移除本地造信号逻辑，依赖后端|open|batch-2|
R4-00146|d:\6\恋爱小程序\apps\client\src\components\discover\CardDetailOverlay.vue|226|F|P2|兴趣圈成员数用 hash 伪造：members = 60 + (userId.charCodeAt(0) + idx*31) % 240|详情页展示的圈子人数为随机伪造值，与真实圈子数据脱节，误导用户|由后端圈子接口下发真实成员数|open|batch-2|
R4-00147|d:\6\恋爱小程序\apps\client\src\components\discover\CardDetailOverlay.vue|249-252|F|P2|匹配度分数前端伪造：Math.min(98, 80 + commonCircleCount*5)|匹配度非后端计算值，UI 展示的数字与推荐排序依据不一致|后端下发 matchScore 字段|open|batch-2|
R4-00152|d:\6\恋爱小程序\apps\client\src\services\api.ts|358-364|T|P2|getIcebreakers real 分支无对端端点可用，固定返回 { items: [] } 空列表|私信场景破冰话题在 real 模式永久为空（注释承认是 P0-06 妥协），功能降级无提示|后端补按 peerUserId 的破冰端点|open|batch-2|
