R4-00249|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|456-457|H|P1|注册用户 phone 明文存储，且 openid 字段写入 "phone:"+phone 明文（setOpenid("phone:" + phone); setPhone(phone)）|数据库泄露即暴露全部真实手机号，违反个人信息保护合规|phone 经 AesEncryptor 加密存储或使用不可逆派生键|open|batch-2|
R4-00251|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RealAuthService.java|533-567|D|P1|loginAsGuest 全体验用户共用一个固定账号（13900000000，昵称体验用户），会话身份无隔离|体验用户私信/匹配/点赞数据互相污染；商业化误开该入口即数据隔离失效|按会话生成独立临时账号，或体验数据限内存/独立库|open|batch-2|
R4-00259|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\ThirdPartyAuthService.java|139-163|B|P1|doLogin 命中既有绑定记录路径未检查 user.isDisabled()，禁用用户仍可经微信/Apple 第三方登录签发 JWT|管理员封禁可被第三方登录路径绕过，账号管控失效|doLogin 增加 isDisabled 校验（对齐 RealAuthService.loginWithWechat）|open|batch-2|
R4-00263|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AuthController.java|123-126|B|P1|phoneLogin 公开端点无 @RateLimit（对比 wechat-login/admin/login 均有 10/0.1 限流）|手机号+密码可无限次爆破尝试，撞库/枚举风险|补 @RateLimit(capacity=10, refillTokens=0.1, key=IP)|open|batch-2|
R4-00270|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\WeChatClient.java|92-99|B|P1|devFallbackEnabled 开启时任意 code 派生固定 openid（"dev-wechat-"+code）直接走真实登录/注册链路|生产误开 WECHAT_DEV_FALLBACK_ENABLED 即可无凭据伪造微信身份登录任意新账号|生产 profile 启动强校验该开关必须为 false|open|batch-2|
R4-00279|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\MockSecurityConfig.java|181-191|B|P1|mock 模式 /api/v1/admin/** 自动注入 ROLE_ADMIN+ROLE_USER，principal 固定 1L|mock profile 一旦被误带生产，所有管理端点匿名可用，鉴权整体失效|mock profile 启动强校验环境隔离；principal 使用可配置 mock 用户|open|batch-2|
R4-00293|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\dto\DtoMapper.java|259-264|B|P1|toInstant 使用 ZoneId.systemDefault() 将 LocalDateTime 转 UTC Instant（DTO 声称 UTC 无歧义）|JVM 时区与 DB（Asia/Shanghai）不一致时全部时间戳偏移 8 小时|显式指定 Asia/Shanghai 时区转换|open|batch-2|
R4-00313|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\RealMatchService.java|349-356|B|P1|喜欢我/访客列表未解锁条目仍返回完整昵称/头像（unlocked 仅前端打码）|付费解锁墙无服务端保护，不付费即可拿到全部列表信息，解锁商业化链路失效|服务端按解锁集合截断昵称/头像/校区字段，未解锁只返回占位|open|batch-2|
R4-00314|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RecommendationRanker.java|397|B|P1|悄悄话（付费可见语义）明文随推荐列表下发，无任何解锁校验（whisper=WHISPER_POOL.get(...)）|付费内容免费泄露，悄悄话扣费链路无消费方|列表不下发 whisper，由解锁接口单独返回|open|batch-2|
R4-00315|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RecommendationRanker.java|406|F|P1|allowMessage 恒为 Boolean.FALSE，MESSAGE_UNLOCK/WHISPER_UNLOCK 扣费无任何消费方|用户付费解锁私信后服务端不授予任何能力，钱包扣费白扣|实现解锁校验并据实返回 allowMessage|open|batch-2|
R4-00316|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\AutoRenewService.java|239|F|P1|renewVip 无任何调用方（全仓 grep 无调度任务/Controller 入口）|自动续费开关可开启但永远不会扣费续费，功能闭环断裂|补 @Scheduled 定时任务 + 手动触发端点|open|batch-2|
