R4-00293|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\dto\DtoMapper.java|259-264|B|P1|toInstant 使用 ZoneId.systemDefault() 将 LocalDateTime 转 UTC Instant（DTO 声称 UTC 无歧义）|JVM 时区与 DB（Asia/Shanghai）不一致时全部时间戳偏移 8 小时|显式指定 Asia/Shanghai 时区转换|open|batch-2|
R4-01010|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\RealCampusService.java|140|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01011|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\RealCampusService.java|179|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01012|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\RealCampusCertificationService.java|88|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(existing.setSubmittedAt(LocalDateTime.)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01013|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\RealCampusCertificationService.java|103|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(certification.setSubmittedAt(LocalDate)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01014|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\campus\RealCampusCertificationService.java|161|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(certification.setReviewedAt(LocalDateT)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01015|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\MockTempChatService.java|66|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(SessionState state = new SessionState()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01016|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\MockTempChatService.java|76|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(return new SessionState(person, newSes)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01017|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\MockTempChatService.java|105|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）("m-" + Instant.now().toEpochMilli(),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01018|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\MockTempChatService.java|109|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(Instant.now().toString(),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01019|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\MockTempChatService.java|185|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(Instant.now().toString(),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01020|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\MockTempChatService.java|275|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(sessionsById.put(sessionId, new Sessio)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01021|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\MockTempChatService.java|292|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(Instant.now().plusSeconds(24 * 60 * 60)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01022|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\RealNotificationService.java|263|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(notification.setCreatedAt(LocalDateTim)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01023|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\clientconfig\ClientDbConfigController.java|142|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01024|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\RealInteractionEventService.java|74|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(event.setCreatedAt(LocalDateTime.now())|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01025|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AppleIdentityTokenVerifier.java|112|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(Instant now = Instant.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01026|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\TempChatCleanupService.java|109|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01027|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\TempChatCleanupService.java|187|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01028|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\TempChatCleanupService.java|202|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(exchange.setUpdatedAt(LocalDateTime.no)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01029|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\VoiceMessageService.java|142|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(String yyyyMM = LocalDate.now().format)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01030|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\RealPrivateMessageService.java|135|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01031|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\RealPrivateMessageService.java|171|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01032|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\RealPrivateMessageService.java|298|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(conversation.setUpdatedAt(LocalDateTim)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01033|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\VideoCallService.java|98|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(java.time.LocalDateTime now = java.tim)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
