R4-00491|d:\6\恋爱小程序\docs\ADMIN-GUIDE.md|583-604,657-705|F|P1|运营手册声称存在灰度发布页（比例/白名单/黑名单配置）、营销活动、用户分群、日报周报月报自动生成等能力，管理后台实际无任何对应页面/入口|运营按手册操作找不到功能，文档商业化承诺失实|手册与实现对齐或补齐对应页面|open|batch-2|
R4-00492|d:\6\恋爱小程序\docs\ADMIN-GUIDE.md|252-270,417-452,508-546|F|P1|手册声称封禁时长(7天/30天/永久)+封禁原因、用户详情含匹配历史/聊天记录/登录记录 30 次、消息举报类型、敏感词批量导入/导出/命中统计、VIP 价格/红包活动配置等能力，实际 Users.vue 仅 disable/enable、敏感词仅增删、VipPlans 为占位页|运营与审核员按手册操作不可执行，内容治理流程与手册脱节|手册按现状重写或补齐功能|open|batch-2|
R4-00493|d:\6\恋爱小程序\docs\ADMIN-GUIDE.md|154-201|F|P1|手册声称 Dashboard 提供 DAU/新增/消息量/帖子数趋势图表、留存率/VIP 转化率、异常告警横幅、系统健康（API/DB/Redis/JVM/慢查询）等，实际 Dashboard 仅 4 张统计卡+匹配趋势列表|运营决策依赖的指标面板不存在，数据驱动运营落空|Dashboard 补齐核心指标或手册降级描述|open|batch-2|
R4-00495|d:\6\恋爱小程序\docs\WECHAT-MINI-PROGRAM-ACCEPTANCE.md|167-169|B|P1|验收文档声称"未成年人保护 ✅ 通过 18 岁以下无法注册""用户实名 ✅ 通过 微信实名+校园认证"，与同仓库 privacy-policy.md:189-192 代码审查结论（未实现 18 岁校验、未调用实名接口）直接矛盾|提审时审核员发现可注册未成年账号即驳回；合规声明失实有法律风险|按 privacy-policy 8.1 结论改判为"未实现/待整改"|open|batch-2|
R4-00496|d:\6\恋爱小程序\docs\privacy-policy.md|169-172,196-210|F|P1|隐私政策第 8 条承诺"未满 18 周岁用户无法注册"，但文档自身 8.1.2 审查记录确认代码未实现任何年龄校验（未调用实名接口、无生日字段），仅靠协议告知|面向未成年人提供服务违反《未成年人保护法》与微信提审要求，监管/审核风险|实现年龄校验或修改政策承诺（二选一）|open|batch-2|
R4-00498|d:\6\恋爱小程序\docs\wechat-submission-materials-checklist.md|278,300-303,521|B|P1|提审清单仍按 VIP 在线编排：提审备注模板声明"VIP 会员（微信支付，月卡 18 元…）"、vip_test 账号权益（红包功能/视频通话）、T-10 风险提示称"项目中存在两个不同的 appid"（与同文档 AppID 小节 P1.18"三个配置文件已统一"矛盾）|提审材料与当前功能不符，审核员按备注验证 VIP 流程将失败驳回；文档内部自相矛盾|按 VIP 下线后的现状修订清单并消除 appid 矛盾表述|open|batch-2|
R4-00521|d:\6\恋爱小程序\docs\privacy-policy.md|1-267|F|P1|隐私政策全文未披露 Agnes AI 视频/图片生成服务对用户输入内容的处理（用户协议 5.1 亦未提），但 compose/.env.example 已配置 AGNES_API_KEY 且 CHANGELOG 声称 AI 视频功能上线|用户生成内容经第三方 AI 处理未告知，违反 PIPL 告知同意原则，微信提审隐私指引填报缺项|隐私政策新增 AI 服务条款与 SDK/第三方处理披露|open|batch-2|
R4-00491|d:\6\恋爱小程序\docs\ADMIN-GUIDE.md|583-604,657-705|F|P1|运营手册声称存在灰度发布页（比例/白名单/黑名单配置）、营销活动、用户分群、日报周报月报自动生成等能力，管理后台实际无任何对应页面/入口|运营按手册操作找不到功能，文档商业化承诺失实|手册与实现对齐或补齐对应页面|open|batch-2|
R4-00492|d:\6\恋爱小程序\docs\ADMIN-GUIDE.md|252-270,417-452,508-546|F|P1|手册声称封禁时长(7天/30天/永久)+封禁原因、用户详情含匹配历史/聊天记录/登录记录 30 次、消息举报类型、敏感词批量导入/导出/命中统计、VIP 价格/红包活动配置等能力，实际 Users.vue 仅 disable/enable、敏感词仅增删、VipPlans 为占位页|运营与审核员按手册操作不可执行，内容治理流程与手册脱节|手册按现状重写或补齐功能|open|batch-2|
R4-00493|d:\6\恋爱小程序\docs\ADMIN-GUIDE.md|154-201|F|P1|手册声称 Dashboard 提供 DAU/新增/消息量/帖子数趋势图表、留存率/VIP 转化率、异常告警横幅、系统健康（API/DB/Redis/JVM/慢查询）等，实际 Dashboard 仅 4 张统计卡+匹配趋势列表|运营决策依赖的指标面板不存在，数据驱动运营落空|Dashboard 补齐核心指标或手册降级描述|open|batch-2|
