R4-00438|d:\6\恋爱小程序\apps\admin\src\stores\menu.ts|175-213|H|P3|staticFallbackMenus 硬编码中文菜单标题（"数据看板""内容管理"等 30+ 处）与固定 id 1/10/20/30 家族|菜单 i18n 依赖 menu.<中文> 映射表兜底，新增菜单/改名需同步 4 处|兜底菜单抽取为常量或复用 i18n key|open|batch-4|
R4-00446|d:\6\恋爱小程序\apps\admin\src\views\Layout.vue|57-59|D|P3|SUPER_ADMIN_ONLY_MENU_NAMES 前端硬编码 7 个菜单 name 集合做角色过滤，与后端菜单-角色模型重复维护|新增超级管理员专属菜单时需前后端同步，漏改则校区管理员看到入口|改由后端菜单数据带权限标记下发|open|batch-4|
R4-00454|d:\6\恋爱小程序\apps\admin\src\api\activities.ts|311|H|P3|CSV 导出文件名硬编码 activity_enrollments_${id}.csv（business.ts:231 同款 promo-codes-${datePart}.csv）|文件名策略变更需改代码，与后台其他导出命名风格不统一|文件名生成收敛到公共工具|open|batch-4|
R4-00455|d:\6\恋爱小程序\apps\admin\src\api\reports.ts|99|H|P3|pageSize 硬编码 20 而非引用 DEFAULT_PAGE_SIZE 常量（constants.ts:9 声明"视图应引用本文件常量"）|魔法数字蔓延，常量收敛失效|改引 DEFAULT_PAGE_SIZE|open|batch-4|
R4-00466|d:\6\恋爱小程序\apps\admin\src\views\business\Coins.vue|58-66,99,155-156,169-177,187-193,200-202,213|H|P3|金币页 15+ 处硬编码中文（来源"签到/补签"、表头、筛选）|en-US 下全中文|迁移至 coins.* locale key|open|batch-4|
R4-00467|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|63,77,111,129,151,163-165,175-180,187-188,195-200|H|P3|报名页 15+ 处硬编码中文（"请先输入有效的活动 ID"、导出中、表头、已报名徽章）|en-US 下全中文|迁移至 enrollments.* locale key|open|batch-4|
R4-00468|d:\6\恋爱小程序\apps\admin\src\views\forum\CampusTopics.vue|69,128,142,168,182-212,223,228-246,256-262,271,294,313-314,329-358|H|P3|校园圈话题页 25+ 处硬编码中文（"匿名用户"、状态/审核标签、表头、弹窗）|en-US 下全中文|迁移至 campusTopics.* locale key|open|batch-4|
R4-00469|d:\6\恋爱小程序\apps\admin\src\views\forum\CircleTopics.vue|59,90,104,139,165,189,211,215-231,241-254,261-271,289-290|H|P3|圈内话题页 15+ 处硬编码中文（"请先选择或输入有效的圈子 ID"、置顶/未置顶、表头、弹窗）|en-US 下全中文|迁移至 circleTopics.* locale key|open|batch-4|
R4-00470|d:\6\恋爱小程序\apps\admin\src\views\forum\InterestCircles.vue|69,146,155-158,178,208-211,236,244-248,271-272,284,303-319,337|H|P3|兴趣圈页 15+ 处硬编码中文（校验、表头、弹窗、查看话题按钮）|en-US 下全中文|迁移至 interestCircles.* locale key|open|batch-4|
R4-00471|d:\6\恋爱小程序\apps\admin\src\views\config\Config.vue|221|H|P3|只读提示"仅超级管理员可修改配置，当前账号（校区管理员）为只读。"硬编码中文（MatchConfig.vue:257、SensitiveWords.vue:214 同款）|en-US 下提示纯中文，权限提示不国际化|三条提示统一走 i18n key|open|batch-4|
R4-00472|d:\6\恋爱小程序\apps\admin\src\views\system\AuditLogs.vue|299-303|H|P3|表头"目标类型/目标ID/错误信息"硬编码中文，混在同表其余 i18n 表头中|en-US 下表头中英混杂|补 auditLogs.columnTargetType 等 key|open|batch-4|
