R4-00123|d:\6\恋爱小程序\apps\client\src\stores\session.ts|243-252|H|P2|资料完善度权重魔法数字（avatar20/nickname10/gender10/birthday10/school20/major10/interestTags10/bio10）|完善度算法与后端/设计口径无单一真相源，调整需改代码并重新发版|抽取到 constants 并注释业务依据|open|batch-3|
R4-00125|d:\6\恋爱小程序\apps\client\src\stores\likes.ts|217-422|H|P2|mock 用户 ID 家族 user-2001~user-2318（mockLikes/mockLikedBy，含 user-2200~2217 与 user-2300~2318 两段不连续区间）|mock 数据随产物打包，ID 家族与真实用户体系割裂，联调/验收易被误认为真实账号|统一迁入 fixtures 且仅 mock 模式引用|open|batch-3|
R4-00130|d:\6\恋爱小程序\apps\client\src\stores\village\utils.ts|664-785|H|P2|mock 作者 ID 家族 user-3001~user-3015（mockAuthors 15 人）|mock 用户 ID 与 likes(user-2xxx)/fixtures(4001~4007)/session("1") 多套体系并存，验收演示身份混乱|统一 mock 用户 ID 单一体系|open|batch-3|
R4-00133|d:\6\恋爱小程序\apps\client\src\stores\village\index.ts|1033-1055|H|P2|fetchSimilarAuthors mock 返回硬编码 user-3004/user-3005（南风/北岛）|mock 作者家族与真实用户体系割裂|迁入 fixtures 统一管理|open|batch-3|
R4-00134|d:\6\恋爱小程序\apps\client\src\services\mocks\fixtures.ts|120-133|H|P2|mock 会话 userId "user-1001"（session 模块级可变状态，与 session.ts 的 "1" 并存）|同一 mock 用户存在两套 ID（"1" 与 "user-1001"），mock 身份语义分裂|统一为单一 mock 用户 ID|open|batch-3|
R4-00135|d:\6\恋爱小程序\apps\client\src\stores\campus.ts|258-385|H|P2|mock 话题作者 ID 家族 u-1001~u-6002（学长小王/学生会长等）|mock 用户 ID 第四套体系（u-* 前缀），与其他 mock 家族完全割裂|统一 mock 用户 ID 体系|open|batch-3|
R4-00148|d:\6\恋爱小程序\apps\client\src\services\env.ts|4|T|P2|@deprecated 历史 env 实现与 src/config/env.ts 双实现并存，仍被 utils/media.ts、stores/*、pages/* 大量引用|双环境配置真相源，修改一处另一处不同步导致行为漂移（如超时/回退逻辑）|完成迁移后删除 services/env.ts|open|batch-3|
R4-00169|d:\6\恋爱小程序\apps\client\src\services\http.ts|868-906|B|P2|withTimeout 超时分支 reject 后不调用 cleanup()：外部 signal 的 onExternalAbort 监听器未移除|同一 AbortSignal 复用（页面级 signal）时监听器累积泄漏，settle 后 abort 仍触发无谓 reject|超时分支同样移除监听器|open|batch-3|
R4-00176|d:\6\恋爱小程序\apps\client\src\stores\checkin.ts|449|B|P2|checkInDate 用 new Date().toISOString().split("T")[0]（UTC 日期），与 api.ts localDateKey 注释「toISOString 凌晨得到错误日期」自相矛盾|北京时间 00:00-08:00 签到时展示的签到日期为前一天|改用本地日期格式化（复用 localDateKey）|open|batch-3|
R4-00177|d:\6\恋爱小程序\apps\client\src\stores\discover\actions\swipe.ts|127-151|B|P2|右滑 300ms 防抖（swipeRight）而左滑不防抖：快速「右滑 A→左滑 B」时 A 的 like 延迟 300ms 后对已移除卡片执行，报「卡片不存在」；连续右滑只执行最后一次，前次右滑被静默丢弃|快速滑动场景下喜欢操作丢失或误报错误，用户体验受损|防抖窗口内快照卡片或移除防抖改为幂等队列|open|batch-3|
R4-00194|d:\6\恋爱小程序\apps\client\src\stores\session.ts|185-216|D|P2|profileFieldStatus 用 profileCompleted 代理 avatar/gender/birthday/major/interestTags/bio 全部字段（注释承认是代理）|字段级完善状态失真：头像未上传但资料保存后所有字段显示已完成，完善度计算 100% 虚高|后端 UserSession 下发字段级状态|open|batch-3|
R4-00195|d:\6\恋爱小程序\apps\client\src\stores\likes.ts|924-937|B|P3|unlockUser 幂等键 unlock-{type}-{userId} 与 coins.spend 的 orderId UNLOCK-{scene}-{targetId} 两套幂等体系并存，均直调不同端点（/wallet/unlock 与 /wallet/deduct）|同一解锁行为存在两条扣费链路，重复解锁/双扣风险难排查|统一为单一解锁入口|open|batch-3|
R4-00204|d:\6\恋爱小程序\apps\client\src\compat\index.ts|222-230|H|P2|getDevApiBaseUrl 硬编码 http://127.0.0.1:8080/api 与 https://127.0.0.1:8080/api（Task 35 双实现，与 services/env.ts 重复，已知审计项）|dev 模式回退地址写死本地端口，本地后端换端口即失效；双实现易漂移|收敛到单一实现并从环境变量读取 dev 地址|open|batch-3|
