R4-00002|d:\6\恋爱小程序\apps\client\src\pages\login\index.vue|588-589|H|P3|展示模式入口中文文案硬编码"以演示者身份进入展示版/超级管理员模式 · 一键体验全部功能"，绕过 i18n（页内其余文案均走 t()）|展示构建文案无法随语言切换|文案迁移到 i18n 资源|open|batch-4|
R4-00003|d:\6\恋爱小程序\apps\client\src\pages\login\index.vue|37|T|P3|验证码倒计时状态机死代码：countdown/pauseCountdown/resumeCountdown（L107-138）与 .send-code-btn 样式（L914-940）无消费方——本页为手机号+密码登录，模板无验证码 UI|维护成本与误导（后人以为有验证码功能）|删除倒计时逻辑与对应样式|open|batch-4|
R4-00006|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|835-881|T|P3|死样式集群：.notification-btn/.settings-btn/.notification-dot（L835-881）、.banner-*（L1248-1354）、.recommend-*（L1468-1568）、.post-*（L1746-1967）、.shop-*（L1902-1967）、.fab-*（L2049-2101）模板均无引用（注释已移除对应模块）|产物体积与样式维护成本|删除未引用样式块|open|batch-4|
R4-00007|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|39-40|T|P3|注释"首页 = 索引 2"与 useTabBar(0) 实参矛盾（discover/index.vue L50 注释称"tab 顺序：首页0/匹配1…"），两页注释互斥|误导 tab 索引维护，改 tab 时易出错|统一修正注释|open|batch-4|
R4-00008|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|619-650|F|P3|活动横滚区无空态：activityStore.activities 为空时仅渲染空白横向滚动区，无提示|空数据时页面模块显空白|增加空态占位|open|batch-4|
R4-00010|d:\6\恋爱小程序\apps\client\src\pages\discover\index.vue|376-401|T|P3|[AUTOSHOT] 自动化走查钩子残留生产代码：URL shot 参数可驱动自动打开详情/签到/筛选弹窗|测试专用后门入口，扩大攻击面|移入测试专用构建|open|batch-4|
R4-00013|d:\6\恋爱小程序\apps\client\src\pages\discover\history.vue|204-208|U|P3|挽回按钮无 loading/禁用态：连点可并发重复调用 rewindCard|重复请求浪费与触发每日限流 429|加防抖与禁用态|open|batch-4|
R4-00017|d:\6\恋爱小程序\apps\client\src\pages\likes\index.vue|1351-1415|T|P3|.likes-batch-bar 选择器被拆为两块重复定义（L1351-1358 与 L1404-1415），bottom 属性两处声明|样式维护隐患，后续修改易漏一侧|合并为单一规则块|open|batch-4|
R4-00018|d:\6\恋爱小程序\apps\client\src\pages\likes\index.vue|1021-1071|T|P3|死样式 .likes-loading__spinner/.likes-loading__text/.likes-empty* 模板无引用（已改用 Skeleton/EmptyState 组件）|冗余样式|删除|open|batch-4|
R4-00029|d:\6\恋爱小程序\apps\client\src\pages\verification\index.vue|180-188|T|P3|simulateApprove 函数体无 isMockMode 守卫（仅模板 v-if 保护），若未来被其他调用点引用即可在真实模式伪造认证通过|认证信任体系防御性缺口|函数内加环境守卫|open|batch-4|
