R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletController.java|90-95|B|P0|演示充值开关默认开启且无支付网关（app.demo-recharge.enabled:true + 直接入账）|生产未显式关闭时任意用户可免费无限充值（单次上限 1 亿元分 × 每日 5 次），资金/账务风险|默认关闭并在启动时校验 profile，接入支付网关回调前禁止入账|open|batch-1
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\RealMatchService.java|349-356|B|P1|喜欢我/访客列表未解锁条目仍返回完整昵称/头像（unlocked 仅前端打码）|付费解锁墙无服务端保护，不付费即可拿到全部列表信息，解锁商业化链路失效|服务端按解锁集合截断昵称/头像/校区字段，未解锁只返回占位|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RecommendationRanker.java|397|B|P1|悄悄话（付费可见语义）明文随推荐列表下发，无任何解锁校验（whisper=WHISPER_POOL.get(...)）|付费内容免费泄露，悄悄话扣费链路无消费方|列表不下发 whisper，由解锁接口单独返回|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RecommendationRanker.java|406|F|P1|allowMessage 恒为 Boolean.FALSE，MESSAGE_UNLOCK/WHISPER_UNLOCK 扣费无任何消费方|用户付费解锁私信后服务端不授予任何能力，钱包扣费白扣|实现解锁校验并据实返回 allowMessage|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\AutoRenewService.java|239|F|P1|renewVip 无任何调用方（全仓 grep 无调度任务/Controller 入口）|自动续费开关可开启但永远不会扣费续费，功能闭环断裂|补 @Scheduled 定时任务 + 手动触发端点|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\AutoRenewService.java|252-337|B|P1|Redisson 锁在事务提交前释放（finally unlock 早于代理层 commit），且 orderNo 每次 UUID 不同|并发二次续费可读到未提交数据再次扣款+再次顺延 VIP（双扣费）|锁生命周期包住事务提交（TransactionSynchronization 或锁外事务）|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\BillingService.java|207|F|P1|handlePaymentCallback 无任何 HTTP/Controller 调用方（支付回调未接入）|微信支付-权益开通闭环断裂，BillingService 回调逻辑为死代码|接入支付回调端点（验签+验单）|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\BillingService.java|225-236|B|P1|支付回调幂等仅按 notification_id；同 orderNo 不同 notificationId 重复回调绕过检查无限顺延 VIP（注释自认）|重复回调可无限免费延长 VIP，幂等无保证|增加 orderNo 维度幂等 + transaction_id 唯一约束|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\PromoCodeService.java|113|F|P1|redeem 折扣结果无消费方：全仓无任何 VIP 购买/支付下单流程使用折扣金额|优惠码兑换后折扣不生效（兑换成功但购买时无人读取），营销链路断裂|在支付/下单链路上消费折扣|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\MessageWebSocketHandler.java|216-224|B|P1|私信 WS 路径校验通过后仅推送不落库（payload 直发 /queue/messages）|WS 发送的私信不入库：历史消息、未读计数、会话预览均缺失，双通道数据不一致|WS 私信复用 RealPrivateMessageService 落库|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\chat\TempChatSessionService.java|459-462|B|P1|matchId 兜底把任意数字解析为 userId 建立会话（代码 TODO 自认）|任意用户可借 matchId 与任意用户建立临时会话并推送通知，越权骚扰|校验 matchId 归属当前用户（MatchService 查询支持）|open|batch-2
