R4-00009|d:\6\恋爱小程序\apps\client\src\pages\discover\index.vue|113-115|H|P2|匹配成功动画头像硬编码固定占位图 partnerAvatar=AVATAR_1 / myAvatar=AVATAR_2（注释承认"UserSession 无 avatarUrl 字段"）|用户本人与对方头像非真实头像，匹配场景信任受损|会话/卡片数据源补齐真实头像|open|batch-3|
R4-00014|d:\6\恋爱小程序\apps\client\src\pages\likes\index.vue|167-173|B|P2|VIP 免费解锁仅前端置位 item.unlocked=true，无服务端调用；若后端 unlocked 以 unlock 表为准，刷新后锁状态回退|VIP 用户解锁体验不稳定、状态不同步|服务端解锁接口或服务端感知 VIP 态|open|batch-3|
R4-00015|d:\6\恋爱小程序\apps\client\src\pages\likes\index.vue|614|U|P3|未解锁列表项点击无任何反馈（三元表达式第三分支为 undefined），用户点后无反应|点击无响应，用户不知道如何解锁|未解锁点击弹出解锁引导|open|batch-3|
R4-00019|d:\6\恋爱小程序\apps\client\src\pages\likes-visitors\index.vue|185-189|B|P2|formatTime 无 isNaN 校验且直接 new Date() 解析：契约（likes.yaml）visitedAt 为 "yyyy-MM-dd HH:mm:ss"，iOS/Safari 解析为 Invalid Date → 显示 NaN/NaN（likes/index.vue 已有 P2-01 同类修复，本页未同步）|iOS 端访客时间显示错乱|加 isNaN 校验 + 格式转换|open|batch-3|
R4-00020|d:\6\恋爱小程序\apps\client\src\pages\likes-visitors\index.vue|91-97|B|P2|onShow 加载条件反置：if (profileStore.loading) 时才再 load()，加载完成后（loading=false）永不刷新 profileStats，且加载中重复请求|页面数据陈旧与重复请求并存|改为 !loading 或无条件刷新|open|batch-3|
R4-00021|d:\6\恋爱小程序\apps\client\src\pages\likes-visitors\index.vue|121-125|B|P2|VIP 免费解锁 markAllUnlocked(true) 仅本地置位无服务端持久化，刷新后 unlocked 回退为锁定|VIP 解锁不可靠|服务端解锁链路打通|open|batch-3|
R4-00022|d:\6\恋爱小程序\apps\client\src\pages\likes-visitors\index.vue|267|U|P3|未解锁列表项 @tap 为 undefined 无任何反馈|点击无响应|弹出解锁引导|open|batch-3|
R4-00023|d:\6\恋爱小程序\apps\client\src\pages\heart-signals\index.vue|240|B|P2|fromUserAvatar 直接绑定 :src 未走 resolveMediaUrl（likes/home 等页均经 resolveMediaUrl 重写鉴权代理路径）|真实模式用户上传头像 URL 未重写导致 403/404 无法显示|补 resolveMediaUrl 重写|open|batch-3|
R4-00024|d:\6\恋爱小程序\apps\client\src\pages\heart-signals\index.vue|33-41|B|P2|信号状态机与契约不符：likes.yaml status enum=[pending,accepted,declined]，前端分组 [pending,accepted,expired]——expired tab 契约中不存在（后端按契约返回时恒空），declined 信号无任何展示分支被静默丢弃|已拒绝信号不可见、过期 tab 空置|对齐契约状态机并补 declined 展示|open|batch-3|
R4-00025|d:\6\恋爱小程序\apps\client\src\pages\heart-signals\index.vue|595|H|P2|倒计时进度条硬编码固定 24h 动画（countdown-shrink 24h linear）与信号实际 expiresAt 无关|信号过期时长非 24h 时进度条失真误导|按 expiresAt 动态计算宽度|open|batch-3|
R4-00034|d:\6\恋爱小程序\apps\client\src\pages\love-center\nearby.vue|42|F|P3|"附近的人"复用 clientApi.getRecommendations({}) 全量推荐接口，无任何距离/位置参数，功能名不副实|附近维度缺失，用户期望与体验不符|接入距离/定位筛选|open|batch-3|
R4-00038|d:\6\恋爱小程序\apps\client\src\pages\shop\index.vue|31-92|H|P2|商品数据全为本地硬编码 mock（价格 99/29.9/9.9…、销量、分类、图片路径），无后端数据源|商城数据不可运营，价格销量为假数据|接入后端商品接口|open|batch-3|
R4-00043|d:\6\恋爱小程序\apps\client\src\subpackages\setup\profile\index.vue|285-291|D|P2|籍贯城市/未来城市默认值直接取校区城市（campus.city），籍贯为出生地与校区无关，用户不修改即提交错误籍贯|用户籍贯数据污染，同乡匹配与推荐失效|移除自动填充，仅保留显式选择|open|batch-3|
R4-00044|d:\6\恋爱小程序\apps\client\src\subpackages\setup\campus\index.vue|155|B|P2|补认证场景（"我的→校园认证"进入，L121 注释）保存后统一 replaceAppPath 跳注册流程时间安排页，导航上下文错误|补认证用户被带到注册流程，路径混乱|按来源区分跳转目标|open|batch-3|
R4-00047|d:\6\恋爱小程序\apps\client\src\subpackages\setup\schedule\index.vue|33-75|H|P2|全页中文文案硬编码（"请输入偏好地点"/"保存并进入应用"/"常去区域"等 toast、标题、占位、按钮）未走 i18n，与其他 setup 页不一致|国际化缺失|接入 i18n|open|batch-3|
R4-00052|d:\6\恋爱小程序\apps\client\src\subpackages\discover\discussions\index.vue|46-75|H|P2|全页中文硬编码（"讨论圈"/"正在加载讨论内容..."/"点击重试"/"暂时还没有新的讨论推荐"/"去寻觅"/"反馈讨论建议"及 L32 错误文案）未走 i18n|国际化缺失|接入 i18n|open|batch-3|
